Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
049,005,029,081,Utah,Cache County,Missouri,Harrison County,5,9,0,15,5,9,5,9
049,005,029,095,Utah,Cache County,Missouri,Jackson County,10,16,0,26,10,16,10,16
049,005,029,097,Utah,Cache County,Missouri,Jasper County,0,27,8,10,-8,10,8,10
049,005,029,510,Utah,Cache County,Missouri,St. Louis city,51,79,0,26,51,79,51,79
049,005,030,013,Utah,Cache County,Montana,Cascade County,15,20,0,23,15,20,15,20
049,005,030,023,Utah,Cache County,Montana,Deer Lodge County,6,11,0,14,6,11,6,11
049,005,030,031,Utah,Cache County,Montana,Gallatin County,2,3,0,23,2,3,2,3
049,005,030,049,Utah,Cache County,Montana,Lewis and Clark County,25,55,0,23,25,55,25,55
049,005,030,089,Utah,Cache County,Montana,Sanders County,5,6,0,16,5,6,5,6
049,005,030,091,Utah,Cache County,Montana,Sheridan County,9,14,0,10,9,14,9,14
049,005,030,093,Utah,Cache County,Montana,Silver Bow County,8,13,0,21,8,13,8,13
049,005,030,099,Utah,Cache County,Montana,Teton County,11,16,0,14,11,16,11,16
049,005,030,111,Utah,Cache County,Montana,Yellowstone County,1,2,95,118,-94,119,96,118
049,005,031,055,Utah,Cache County,Nebraska,Douglas County,0,27,22,25,-22,25,22,25
049,005,031,061,Utah,Cache County,Nebraska,Franklin County,0,27,2,4,-2,4,2,4
049,005,031,109,Utah,Cache County,Nebraska,Lancaster County,0,27,34,55,-34,55,34,55
049,005,031,119,Utah,Cache County,Nebraska,Madison County,120,186,51,82,69,207,171,199
049,005,031,135,Utah,Cache County,Nebraska,Perkins County,0,27,6,8,-6,8,6,8
049,005,031,177,Utah,Cache County,Nebraska,Washington County,0,27,20,30,-20,30,20,30
049,005,032,003,Utah,Cache County,Nevada,Clark County,13,19,128,93,-115,96,141,95
049,005,032,007,Utah,Cache County,Nevada,Elko County,25,22,6,11,19,24,31,25
049,005,032,009,Utah,Cache County,Nevada,Esmeralda County,6,8,0,12,6,8,6,8
049,005,032,017,Utah,Cache County,Nevada,Lincoln County,9,14,0,17,9,14,9,14
049,005,032,031,Utah,Cache County,Nevada,Washoe County,15,18,0,29,15,18,15,18
049,005,032,510,Utah,Cache County,Nevada,Carson City,11,18,0,29,11,18,11,18
049,005,034,025,Utah,Cache County,New Jersey,Monmouth County,9,15,0,28,9,15,9,15
049,005,034,027,Utah,Cache County,New Jersey,Morris County,15,24,0,28,15,24,15,24
049,005,035,013,Utah,Cache County,New Mexico,Doña Ana County,12,21,0,28,12,21,12,21
049,005,035,028,Utah,Cache County,New Mexico,Los Alamos County,0,27,15,16,-15,16,15,16
049,005,035,043,Utah,Cache County,New Mexico,Sandoval County,16,15,0,28,16,15,16,15
049,005,035,049,Utah,Cache County,New Mexico,Santa Fe County,4,10,0,28,4,10,4,10
049,005,036,029,Utah,Cache County,New York,Erie County,2,4,0,27,2,4,2,4
049,005,036,055,Utah,Cache County,New York,Monroe County,38,58,19,27,19,69,57,59
049,005,036,091,Utah,Cache County,New York,Saratoga County,0,27,9,18,-9,18,9,18
049,005,036,103,Utah,Cache County,New York,Suffolk County,15,15,0,27,15,15,15,15
049,005,036,119,Utah,Cache County,New York,Westchester County,10,16,0,27,10,16,10,16
049,005,037,081,Utah,Cache County,North Carolina,Guilford County,10,19,0,28,10,19,10,19
049,005,037,133,Utah,Cache County,North Carolina,Onslow County,41,46,0,28,41,46,41,46
049,005,037,183,Utah,Cache County,North Carolina,Wake County,46,58,0,28,46,58,46,58
049,005,038,045,Utah,Cache County,North Dakota,LaMoure County,4,5,0,9,4,5,4,5
049,005,038,089,Utah,Cache County,North Dakota,Stark County,14,20,0,20,14,20,14,20
049,005,039,017,Utah,Cache County,Ohio,Butler County,38,46,0,27,38,46,38,46
049,005,039,023,Utah,Cache County,Ohio,Clark County,38,64,0,27,38,64,38,64
